#Time(s) flow thruput(Mb/s)
5s 0 463.928
5s 1 463.939
5s 2 463.928
5s 3 463.939
5s 4 463.928
5s 5 463.928
5s 6 463.939
5s 7 463.928
5s 8 463.939
5s 9 463.928
5s 10 463.939
5s 11 463.916
5s 12 463.939
5s 13 463.928
5s 14 463.928
5s 15 463.928
5s 16 463.928
5s 17 463.928
5s 18 463.939
5s 19 463.916
