#Time(s) flow thruput(Mb/s)
1s 0 70.4539
1s 1 14.0861
1s 2 14.0861
1s 3 28.2186
1s 4 28.2186
1s 5 14.0861
1s 6 28.2186
1s 7 70.5002
1s 8 28.2186
1s 9 70.5466
