Time(s) RTT(ms)
0.0 0.00184693
1.08393 1.5923 ms
1.08441 1.64326 ms
1.08527 1.68785 ms
1.08537 1.72687 ms
1.08544 1.76101 ms
1.08563 1.79088 ms
1.08611 1.81702 ms
1.08698 1.71489 ms
1.08708 1.75053 ms
1.08715 1.78171 ms
1.08734 1.809 ms
1.08784 1.70787 ms
1.08869 1.74439 ms
1.08878 1.65134 ms
1.08885 1.56992 ms
1.08907 1.62368 ms
1.08955 1.67072 ms
1.09039 1.71188 ms
1.09049 1.74789 ms
1.09057 1.77941 ms
1.09078 1.68198 ms
1.09126 1.72173 ms
1.09212 1.75652 ms
1.09219 1.78695 ms
1.09228 1.81358 ms
1.09251 1.83688 ms
1.09296 1.73227 ms
1.09383 1.64074 ms
1.0939 1.56065 ms
1.09398 1.49056 ms
1.09421 1.55424 ms
1.09467 1.60996 ms
1.09555 1.65872 ms
1.09562 1.70138 ms
1.0957 1.7387 ms
1.09592 1.64637 ms
1.09638 1.69057 ms
1.09725 1.72925 ms
1.09733 1.76309 ms
1.09741 1.7927 ms
1.09763 1.81862 ms
1.09808 1.84129 ms
1.09896 1.73613 ms
1.09903 1.76911 ms
1.09912 1.79797 ms
1.09933 1.82322 ms
1.09981 1.72032 ms
1.10067 1.75528 ms
1.10074 1.66087 ms
1.10083 1.57826 ms
1.10104 1.63098 ms
1.10152 1.6771 ms
1.10238 1.71747 ms
1.10244 1.75278 ms
1.10254 1.78368 ms
1.10274 1.68572 ms
1.10325 1.72501 ms
1.10409 1.75938 ms
1.10415 1.78946 ms
1.10426 1.81577 ms
1.10447 1.8388 ms
1.10496 1.73395 ms
1.1058 1.64221 ms
1.10586 1.56193 ms
1.10598 1.49169 ms
1.10618 1.55523 ms
1.10666 1.61082 ms
1.10753 1.65947 ms
1.10758 1.70204 ms
1.10768 1.73928 ms
1.10791 1.64687 ms
1.10837 1.69101 ms
1.10923 1.72964 ms
1.10928 1.76343 ms
1.10939 1.793 ms
1.10962 1.81888 ms
1.11007 1.84152 ms
1.11095 1.73632 ms
1.11101 1.76928 ms
1.11111 1.79812 ms
1.11132 1.82336 ms
1.11178 1.72044 ms
1.11266 1.75538 ms
1.11272 1.66096 ms
1.11281 1.57834 ms
1.11303 1.63105 ms
1.11349 1.67717 ms
1.11436 1.71752 ms
1.11442 1.75283 ms
1.11452 1.78373 ms
1.11474 1.68576 ms
1.11522 1.72504 ms
1.11607 1.75941 ms
1.11613 1.78948 ms
1.11624 1.8158 ms
1.11644 1.83882 ms
1.11692 1.73397 ms
1.11779 1.64222 ms
1.11784 1.56194 ms
1.11794 1.4917 ms
1.11815 1.55524 ms
1.11865 1.61083 ms
1.11949 1.65948 ms
1.11954 1.70204 ms
1.11966 1.73929 ms
1.11988 1.64688 ms
1.12036 1.69102 ms
1.1212 1.72964 ms
1.12125 1.76343 ms
1.12138 1.793 ms
1.12159 1.81888 ms
1.12207 1.84152 ms
1.12293 1.73633 ms
1.12298 1.64429 ms
1.12309 1.68875 ms
1.12332 1.72766 ms
1.12377 1.6367 ms
1.12464 1.68211 ms
1.12469 1.72185 ms
1.12479 1.63162 ms
1.12502 1.67766 ms
1.12548 1.71796 ms
1.12636 1.75321 ms
1.12642 1.78406 ms
1.12651 1.81105 ms
1.12673 1.70967 ms
1.12719 1.74596 ms
1.12806 1.77771 ms
1.12812 1.8055 ms
1.12822 1.82981 ms
1.12843 1.85108 ms
1.12889 1.7447 ms
1.12977 1.65161 ms
1.12983 1.57016 ms
1.12992 1.49889 ms
1.13014 1.56153 ms
1.13062 1.61634 ms
1.13147 1.66429 ms
1.13153 1.70626 ms
1.13164 1.74297 ms
1.13185 1.6501 ms
1.13233 1.69384 ms
1.13319 1.73211 ms
1.13324 1.7656 ms
1.13335 1.79489 ms
1.13355 1.82053 ms
1.13406 1.84297 ms
1.1349 1.7376 ms
1.13495 1.64539 ms
1.13507 1.68972 ms
1.13528 1.7285 ms
1.13576 1.63744 ms
1.13661 1.68276 ms
1.13665 1.72242 ms
1.13679 1.63211 ms
1.13699 1.5531 ms
1.13747 1.60896 ms
1.13834 1.65784 ms
1.13838 1.70061 ms
1.13849 1.73803 ms
1.13872 1.77078 ms
1.13918 1.79943 ms
1.14004 1.8245 ms
1.14009 1.84644 ms
1.1402 1.86563 ms
1.14043 1.88243 ms
1.14088 1.77212 ms
1.14176 1.67561 ms
1.14182 1.59116 ms
1.14192 1.51726 ms
1.14213 1.5776 ms
1.14259 1.6304 ms
1.14347 1.6766 ms
1.14353 1.71703 ms
1.14362 1.7524 ms
1.14384 1.65835 ms
1.1443 1.70105 ms
1.14517 1.73842 ms
1.14523 1.77112 ms
1.14533 1.79973 ms
1.14555 1.82476 ms
1.14603 1.84667 ms
1.14688 1.74083 ms
1.14694 1.64823 ms
1.14706 1.6922 ms
1.14725 1.73067 ms
1.14773 1.63934 ms
1.1486 1.68442 ms
1.14865 1.72387 ms
1.14877 1.63338 ms
1.14896 1.55421 ms
1.14946 1.60993 ms
1.1503 1.65869 ms
1.15035 1.70135 ms
1.15047 1.73869 ms
1.15069 1.77135 ms
1.15117 1.79993 ms
1.15201 1.82494 ms
1.15206 1.84682 ms
1.1522 1.86597 ms
1.15239 1.88272 ms
1.15288 1.77238 ms
1.15374 1.67583 ms
1.15379 1.59135 ms
1.15391 1.51743 ms
1.15413 1.57775 ms
1.15458 1.63053 ms
1.15545 1.67672 ms
