#Time(s) flow thruput(Mb/s)
5s 0 78.6322
5s 1 78.5859
5s 2 31.4621
5s 3 78.5395
5s 4 31.4621
5s 5 78.5627
5s 6 78.6554
5s 7 31.439
5s 8 78.6554
5s 9 31.4158
